Payment ID,Order ID,Payment Date,Payment Method,Payment Amount,Payment Status,Transaction Reference,Bank Name,Created Date,Updated Date
900021,500021,2025-09-06,UPI,35860.05,SUCCESS,TXN366992705,ICICI Bank,2025-09-06,2025-12-12
900022,500022,2026-07-18,Cash,26998.92,SUCCESS,TXN205128697,HDFC Bank,2026-07-18,2026-07-28
900023,500023,2026-07-06,Net Banking,32913.22,SUCCESS,TXN329509408,Axis Bank,2026-07-06,2026-07-07
900024,500024,2026-02-16,Wallet,34536.04,SUCCESS,TXN871385010,Axis Bank,2026-02-16,2026-03-27
900025,500025,2024-08-04,Cash,20653.47,SUCCESS,TXN611947770,Kotak Mahindra Bank,2024-08-04,2026-01-29
900026,500026,2025-07-14,Net Banking,2399.32,SUCCESS,TXN228727266,Kotak Mahindra Bank,2025-07-14,2025-11-17
900027,500027,2026-04-13,Credit Card,50757.16,SUCCESS,TXN819112790,Punjab National Bank,2026-04-13,2026-05-23
900028,500028,2024-11-24,UPI,7573.29,SUCCESS,TXN592080329,Kotak Mahindra Bank,2024-11-24,2026-06-23
900029,500029,2026-03-11,Debit Card,21674.65,PENDING,TXN406002884,ICICI Bank,2026-03-11,2026-07-01
900030,500030,2026-01-19,Debit Card,52274.96,SUCCESS,TXN812308209,HDFC Bank,2026-01-19,2026-02-22
900031,500031,2025-01-31,Credit Card,21826.86,SUCCESS,TXN838194420,Punjab National Bank,2025-01-31,2025-10-28
900032,500032,2024-12-18,UPI,16155.16,SUCCESS,TXN458153605,ICICI Bank,2024-12-18,2025-09-12
900033,500033,2025-07-21,Cash,16952.06,FAILED,TXN138684919,State Bank of India,2025-07-21,2026-05-15
900034,500034,2024-05-06,Debit Card,24729.67,REFUNDED,TXN325567963,Punjab National Bank,2024-05-06,2025-01-16
900035,500035,2026-04-26,Credit Card,19820.88,SUCCESS,TXN958872154,ICICI Bank,2026-04-26,2026-06-17
900036,500036,2026-07-28,Credit Card,23888.57,SUCCESS,TXN386480450,ICICI Bank,2026-07-28,2026-07-28
900037,500037,2025-12-26,Credit Card,41071.02,SUCCESS,TXN125409494,Punjab National Bank,2025-12-26,2026-02-13
900038,500038,2026-07-10,Debit Card,26652.02,SUCCESS,TXN129635852,HDFC Bank,2026-07-10,2026-07-18
900039,500039,2029-11-24 00:00:00,Net Banking,11214.54,SUCCESS,TXN750911797,Kotak Mahindra Bank,2025-04-22,2025-06-20
900040,500040,2026-04-13,Debit Card,20271.2,FAILED,TXN563102056,HDFC Bank,2026-04-13,2026-07-07
900041,500041,2025-12-12,Net Banking,15915.84,SUCCESS,TXN450236225,Axis Bank,2025-12-12,2026-06-08
900042,500042,2026-01-23,Cash,48385.63,PENDING,TXN423142470,Axis Bank,2026-01-23,2026-06-12
900043,500043,2026-06-29,Net Banking,21609.82,SUCCESS,TXN825449223,ICICI Bank,2026-06-29,2026-07-31
900044,500044,2026-03-18,UPI,12228.84,SUCCESS,TXN978775497,ICICI Bank,2026-03-18,2026-06-05
900045,500045,2025-01-27,Net Banking,24699.8,SUCCESS,TXN545002643,Punjab National Bank,2025-01-27,2025-08-14
900046,500046,2025-10-30,Net Banking,39041.53,PENDING,TXN334978881,ICICI Bank,2025-10-30,2026-07-22
900047,500047,2025-12-15,Cash,28241.31,SUCCESS,TXN739362057,State Bank of India,2025-12-15,2026-06-26
900048,500048,2026-06-24,Credit Card,39716.11,SUCCESS,TXN898493949,Axis Bank,2026-06-24,2026-07-22
900049,500049,2026-06-25,Net Banking,10226.62,SUCCESS,TXN183197117,Punjab National Bank,2026-06-25,2026-07-13
900050,500050,2026-02-15,Wallet,22362.86,SUCCESS,TXN329730155,HDFC Bank,2026-02-15,2026-06-01
900051,500051,2026-06-13,Wallet,23579.5,PENDING,TXN120972273,Kotak Mahindra Bank,2026-06-13,2026-07-07
900052,500052,2026-07-06,Wallet,8945.37,SUCCESS,TXN888807316,Kotak Mahindra Bank,2026-07-06,2026-07-31
900053,500053,2026-01-20,Net Banking,12474.09,SUCCESS,TXN877583839,ICICI Bank,2026-01-20,2026-05-19
900054,500054,2025-06-15,Wallet,42710.89,SUCCESS,TXN560219456,ICICI Bank,2025-06-15,2026-02-06
900055,500055,2026-01-22,Net Banking,11382.13,SUCCESS,TXN370874491,HDFC Bank,2026-01-22,2026-05-22
900056,500056,2026-05-29,UPI,10132.99,SUCCESS,TXN909851739,HDFC Bank,2026-05-29,2026-06-29
900057,500057,2026-02-17,Net Banking,35887.35,SUCCESS,TXN851044796,State Bank of India,2026-02-17,2026-05-22
900058,500058,2024-09-19,Cash,47766.45,FAILED,TXN127571992,State Bank of India,2024-09-19,2026-05-01
900059,500059,2026-07-09,Credit Card,27769.26,SUCCESS,TXN209415691,Punjab National Bank,2026-07-09,2026-07-18
900060,500060,2025-04-04,Wallet,36528.68,SUCCESS,TXN497897455,HDFC Bank,2025-04-04,2025-12-19
900061,500061,2026-07-30,Net Banking,18615.38,SUCCESS,TXN859466878,ICICI Bank,2026-07-30,2026-07-31
900062,500062,2025-07-20,Net Banking,14543.95,SUCCESS,TXN986625773,Punjab National Bank,2025-07-20,2026-05-19
900063,500063,2026-06-11,Cash,28554.48,SUCCESS,TXN755338677,Punjab National Bank,2026-06-11,2026-07-05
900064,500064,2025-06-15,Cash,18421.04,SUCCESS,TXN852890318,State Bank of India,2025-06-15,2026-03-26
900065,500065,2026-02-05,Wallet,34793.52,SUCCESS,TXN864334960,Axis Bank,2026-02-05,2026-05-30
900066,500066,2026-07-18,Cash,17719.41,SUCCESS,TXN670073085,State Bank of India,2026-07-18,2026-07-24
900067,500067,2026-05-14,Credit Card,15246.56,SUCCESS,TXN438817025,HDFC Bank,2026-05-14,2026-07-21
900068,500068,2026-06-15,Cash,31532.64,SUCCESS,TXN403867539,HDFC Bank,2026-06-15,2026-06-27
900069,500069,2025-05-09,Cash,37439.12,SUCCESS,TXN413679331,Punjab National Bank,2025-05-09,2025-07-12
900070,500070,2026-02-16,Credit Card,22550.32,SUCCESS,TXN155165334,State Bank of India,2026-02-16,2026-06-18
900071,500071,2026-07-19,Cash,27666.92,SUCCESS,TXN426240903,HDFC Bank,2026-07-19,2026-07-22
900072,500072,2026-02-12,Net Banking,25529.23,SUCCESS,TXN419280490,Kotak Mahindra Bank,2026-02-12,2026-06-01
900073,500073,2025-04-21,Debit Card,15197.05,SUCCESS,TXN809129316,HDFC Bank,2025-04-21,2025-07-10
900074,500074,2024-10-16,Credit Card,46926.61,SUCCESS,TXN409350265,Punjab National Bank,2024-10-16,2025-08-01
900075,500075,2025-08-30,Net Banking,527.13,SUCCESS,TXN223240112,Kotak Mahindra Bank,2025-08-30,2025-12-23
900076,500076,2026-02-15,Debit Card,11571.93,SUCCESS,TXN571537429,HDFC Bank,2026-02-15,2026-06-14
900077,500077,2024-05-12,Net Banking,17012.69,SUCCESS,TXN888699799,State Bank of India,2024-05-12,2026-01-20
900078,500078,2026-07-11,Wallet,39624.92,FAILED,TXN981994345,State Bank of India,2026-07-11,2026-07-29
900079,500079,2026-05-19,Net Banking,4886.47,SUCCESS,TXN781594897,Axis Bank,2026-05-19,2026-05-30
900080,500080,2026-01-16,Debit Card,1253.86,SUCCESS,TXN811443654,Axis Bank,2026-01-16,2026-07-29
900081,500081,2025-07-26,UPI,15443.53,SUCCESS,TXN806157458,Kotak Mahindra Bank,2025-07-26,2026-03-19
900082,500082,2026-03-07,Debit Card,41997.32,SUCCESS,TXN689720101,ICICI Bank,2026-03-07,2026-05-19
900083,500083,2025-06-17,Debit Card,51500.91,SUCCESS,TXN691458887,HDFC Bank,2025-06-17,2026-03-26
900084,500084,2026-01-02,Net Banking,2887.21,SUCCESS,TXN869446962,State Bank of India,2026-01-02,2026-05-12
900085,500085,2024-07-16,Cash,48479.57,SUCCESS,TXN645719501,Punjab National Bank,2024-07-16,2024-12-02
900086,500086,2024-06-29,Debit Card,2577.5,SUCCESS,TXN879591310,State Bank of India,2024-06-29,2026-02-20
900087,500087,2026-04-05,Cash,34229.18,SUCCESS,TXN505026213,Axis Bank,2026-04-05,2026-05-16
900088,500088,2025-09-08,Wallet,47951.15,SUCCESS,TXN607854378,Punjab National Bank,2025-09-08,2026-03-22
900089,500089,2026-02-13,Cash,19445.18,SUCCESS,TXN456476596,HDFC Bank,2026-02-13,2026-06-05
900090,500090,2025-01-31,Net Banking,21213.41,FAILED,TXN939156387,State Bank of India,2025-01-31,2026-01-12
900091,500091,2026-01-07,Wallet,18888.33,SUCCESS,TXN871716956,Axis Bank,2026-01-07,2026-05-25
900092,500092,2025-11-04,UPI,17337.32,SUCCESS,TXN916440738,Punjab National Bank,2025-11-04,2025-12-25
900093,500093,2025-02-13,Net Banking,41188.24,SUCCESS,TXN256304376,ICICI Bank,2025-02-13,2026-04-10
900094,500094,2025-10-18,Net Banking,6944.64,SUCCESS,,ICICI Bank,2025-10-18,2026-02-13
900095,500095,2026-06-08,Credit Card,49710.92,PENDING,TXN179308612,Axis Bank,2026-06-08,2026-06-30
900096,500096,2025-05-24,Net Banking,23332.66,SUCCESS,TXN214518079,ICICI Bank,2025-05-24,2025-12-05
900097,500097,2026-05-05,UPI,41221.35,SUCCESS,TXN707661655,Punjab National Bank,2026-05-05,2026-05-11
900098,500098,2026-06-13,Debit Card,50231.07,SUCCESS,TXN335154329,Punjab National Bank,2026-06-13,2026-06-25
900099,500099,2025-01-07,Debit Card,38549.08,SUCCESS,TXN946764061,Axis Bank,2025-01-07,2025-02-10
900100,500100,2025-04-27,Cash,18809.32,SUCCESS,TXN492836532,Kotak Mahindra Bank,2025-04-27,2026-01-08
900101,500101,2026-05-19,Debit Card,14482.52,SUCCESS,TXN963538119,HDFC Bank,2026-05-19,2026-07-17
900102,500102,2026-04-25,UPI,41421.92,REFUNDED,TXN948988297,Axis Bank,2026-04-25,2026-04-26
900103,500103,2026-02-27,Debit Card,2686.07,SUCCESS,TXN216335741,Punjab National Bank,2026-02-27,2026-04-27
900104,500104,2026-06-29,Net Banking,34823.04,SUCCESS,TXN852775879,State Bank of India,2026-06-29,2026-07-25
900105,500105,2026-03-14,Credit Card,49277.57,SUCCESS,TXN517305280,Axis Bank,2026-03-14,2026-06-16
900106,500106,2026-02-05,Wallet,16327.46,SUCCESS,TXN206323670,Axis Bank,2026-02-05,2026-07-12
900107,500107,2026-02-11,UPI,25296.85,FAILED,TXN836243579,State Bank of India,2026-02-11,2026-06-30
900108,500108,2026-06-12,UPI,29952.11,FAILED,TXN811642514,ICICI Bank,2026-06-12,2026-07-23
900109,500109,2024-11-09,UPI,34127.36,SUCCESS,TXN991010113,Kotak Mahindra Bank,2024-11-09,2025-06-09
900110,500110,2026-02-19,Credit Card,42057.01,SUCCESS,TXN239577989,Kotak Mahindra Bank,2026-02-19,2026-04-24
900111,500111,2026-07-19,Debit Card,15642.86,SUCCESS,TXN116944811,ICICI Bank,2026-07-19,2026-07-23
900112,500112,2025-08-01,Cash,25306.08,SUCCESS,TXN217095851,Axis Bank,2025-08-01,2026-04-15
900113,500113,2026-06-04,UPI,37643.5,SUCCESS,TXN165310776,Axis Bank,2026-06-04,2026-07-28
900114,500114,2026-06-05,Credit Card,19065.38,SUCCESS,TXN170525764,ICICI Bank,2026-06-05,2026-06-22
900115,500115,2026-01-07,Cash,25398.46,SUCCESS,TXN561923010,HDFC Bank,2026-01-07,2026-07-29
900116,500116,2026-07-02,Credit Card,35128.71,SUCCESS,TXN544328940,State Bank of India,2026-07-02,2026-07-28
900117,500117,2025-09-06,Wallet,3548.2,SUCCESS,TXN609241268,HDFC Bank,2025-09-06,2025-10-22
900118,500118,2026-04-26,Cash,28555.37,SUCCESS,TXN703102938,State Bank of India,2026-04-26,2026-07-20
900119,500119,2025-09-29,Cash,10504.49,SUCCESS,TXN435489452,State Bank of India,2025-09-29,2025-11-21
900120,500120,2026-05-31,UPI,27746.65,SUCCESS,TXN918841563,State Bank of India,2026-05-31,2026-07-06
900121,500121,2025-03-11,Cash,46683.04,SUCCESS,TXN806340901,Punjab National Bank,2025-03-11,2025-07-25
900122,500122,2026-05-10,Cash,29178.65,SUCCESS,TXN805818425,Axis Bank,2026-05-10,2026-05-18
900123,500123,2026-06-30,Credit Card,31621.86,SUCCESS,TXN497341481,State Bank of India,2026-06-30,2026-07-20
900124,500124,2025-10-25,Debit Card,2234.92,SUCCESS,TXN575788930,Punjab National Bank,2025-10-25,2026-05-30
900125,500125,2025-01-03,Wallet,7410.79,SUCCESS,TXN828519068,Kotak Mahindra Bank,2025-01-03,2026-05-16
900126,500126,2026-02-13,Credit Card,10487.14,SUCCESS,TXN920511515,State Bank of India,2026-02-13,2026-04-28
900127,500127,2026-06-29,UPI,31076.94,SUCCESS,TXN526351920,Punjab National Bank,2026-06-29,2026-07-01
900128,500128,2026-05-10,Net Banking,12050.8,SUCCESS,TXN410864588,HDFC Bank,2026-05-10,2026-06-30
900129,500129,2025-05-25,Net Banking,20105.63,PENDING,TXN213669678,ICICI Bank,2025-05-25,2026-01-03
900130,500130,2024-12-24,UPI,18648.17,SUCCESS,TXN648127255,Punjab National Bank,2024-12-24,2025-04-19
900131,500131,2025-03-17,Credit Card,12111.94,SUCCESS,TXN210385522,ICICI Bank,2025-03-17,2025-07-26
900132,500132,2026-07-15,Net Banking,34852.62,SUCCESS,TXN910080036,Kotak Mahindra Bank,2026-07-15,2026-07-29
900133,500133,2026-03-26,Credit Card,23951.81,REFUNDED,TXN572191734,HDFC Bank,2026-03-26,2026-07-24
900134,500134,2025-12-27,UPI,10000.25,SUCCESS,TXN161085229,State Bank of India,2025-12-27,2026-07-27
900135,500135,2025-12-20,Cash,25529.49,SUCCESS,TXN950207886,Punjab National Bank,2025-12-20,2025-12-30
900136,500136,2024-09-14,Net Banking,24958.27,SUCCESS,TXN211134294,State Bank of India,2024-09-14,2024-12-09
900137,500137,2025-03-26,Debit Card,26410.52,SUCCESS,TXN500346767,State Bank of India,2025-03-26,2025-10-10
900138,500138,2024-05-22,Cash,2695.77,SUCCESS,TXN828404274,Axis Bank,2024-05-22,2025-03-08
900139,500139,2026-02-17,Credit Card,15604.51,SUCCESS,TXN475617211,State Bank of India,2026-02-17,2026-05-28
900140,500140,2025-08-19,Wallet,6580.02,SUCCESS,TXN854658900,Punjab National Bank,2025-08-19,2026-05-15
900141,500141,2025-12-20,Net Banking,38117.42,FAILED,TXN306164050,ICICI Bank,2025-12-20,2026-01-24
900142,500142,2025-07-20,UPI,19965.21,SUCCESS,TXN810741110,State Bank of India,2025-07-20,2026-06-01
900143,500143,2026-01-09,Wallet,1496.33,SUCCESS,TXN569948247,HDFC Bank,2026-01-09,2026-04-24
900144,500144,2026-06-26,Cash,35219.87,SUCCESS,TXN356805216,State Bank of India,2026-06-26,2026-07-26
900145,500145,2026-06-06,Cash,34005.09,SUCCESS,TXN666355637,Axis Bank,2026-06-06,2026-06-16
900146,500146,2026-06-10,UPI,14925.53,SUCCESS,TXN863860982,Kotak Mahindra Bank,2026-06-10,2026-06-17
900147,500147,2025-01-11,Net Banking,1931.9,SUCCESS,TXN475364113,HDFC Bank,2025-01-11,2026-03-11
900148,500148,2024-08-29,Wallet,30004.71,SUCCESS,TXN797889971,State Bank of India,2024-08-29,2025-01-25
900149,500149,2025-08-22,Cash,40217.64,SUCCESS,TXN105638424,HDFC Bank,2025-08-22,2025-08-31
900150,500150,2025-01-21,Credit Card,28519.93,SUCCESS,TXN423358638,HDFC Bank,2025-01-21,2025-03-10
900151,500151,2026-06-22,UPI,51613.05,SUCCESS,TXN778556450,Kotak Mahindra Bank,2026-06-22,2026-07-28
900152,500152,2025-01-01,Cash,43026.59,SUCCESS,TXN487195336,HDFC Bank,2025-01-01,2026-06-23
900153,500153,2026-04-03,Debit Card,41284.38,SUCCESS,TXN372354893,Punjab National Bank,2026-04-03,2026-04-05
900154,500154,2026-05-06,Credit Card,51199.13,SUCCESS,TXN147605080,State Bank of India,2026-05-06,2026-07-14
900155,500155,2026-07-09,Credit Card,32982.36,SUCCESS,TXN167753684,Punjab National Bank,2026-07-09,2026-07-23
900156,500156,2026-02-04,Cash,33976.34,SUCCESS,TXN608309128,State Bank of India,2026-02-04,2026-02-13
900157,500157,2025-10-02,Debit Card,3230.12,SUCCESS,TXN569172971,Axis Bank,2025-10-02,2026-05-15
900158,500158,2025-09-16,Debit Card,25973.48,PENDING,TXN960226208,HDFC Bank,2025-09-16,2026-04-21
900159,500159,2026-07-21,Debit Card,33754.94,SUCCESS,TXN429097422,Axis Bank,2026-07-21,2026-07-30
900160,500160,2026-07-30,Net Banking,16293.62,PENDING,TXN394801573,Punjab National Bank,2026-07-30,2026-07-30
900161,500161,2025-09-15,Cash,24475.5,FAILED,TXN828092377,Axis Bank,2025-09-15,2025-10-02
900162,500162,2024-11-11,Wallet,8341.8,SUCCESS,TXN583100677,State Bank of India,2024-11-11,2025-11-26
900163,500163,2024-05-30,UPI,27902.88,SUCCESS,TXN889924866,ICICI Bank,2024-05-30,2025-10-23
900164,500164,2026-07-11,Debit Card,37602.65,SUCCESS,TXN845156039,Axis Bank,2026-07-11,2026-07-17
900165,500165,2026-02-07,Wallet,32277.13,SUCCESS,TXN473045064,Punjab National Bank,2026-02-07,2026-02-23
900166,500166,2026-03-27,Debit Card,20911.64,SUCCESS,TXN646272321,ICICI Bank,2026-03-27,2026-04-11
900167,500167,2026-06-20,Cash,40596.93,SUCCESS,TXN239340792,Kotak Mahindra Bank,2026-06-20,2026-06-25
900168,500168,2025-12-25,Credit Card,12174.79,SUCCESS,TXN440405868,Punjab National Bank,2025-12-25,2026-01-12
900169,500169,2025-12-12,Credit Card,21853.27,SUCCESS,TXN564520346,Kotak Mahindra Bank,2025-12-12,2026-07-22
900170,500170,2026-04-07,Cash,40669.95,SUCCESS,TXN404994549,HDFC Bank,2026-04-07,2026-05-09
900171,500171,2026-06-20,Credit Card,16547.81,SUCCESS,TXN735449477,Kotak Mahindra Bank,2026-06-20,2026-06-29
900172,500172,2025-11-02,UPI,21311.2,SUCCESS,TXN148814238,Punjab National Bank,2025-11-02,2026-03-17
900173,500173,2026-06-23,Wallet,44597.31,SUCCESS,TXN424371087,Axis Bank,2026-06-23,2026-07-08
900174,500174,2026-05-29,Net Banking,38794.22,SUCCESS,TXN319068042,State Bank of India,2026-05-29,2026-06-16
900175,500175,2026-05-22,Cash,6336.19,SUCCESS,TXN703068400,HDFC Bank,2026-05-22,2026-07-01
900176,500176,2026-06-12,Net Banking,54467.27,FAILED,TXN366578178,ICICI Bank,2026-06-12,2026-07-02
900177,500177,2025-05-05,Net Banking,25755.31,SUCCESS,TXN124885365,HDFC Bank,2025-05-05,2025-11-22
900178,500178,2026-01-28,Debit Card,43344.0,SUCCESS,TXN676267306,HDFC Bank,2026-01-28,2026-02-24
900179,500179,2026-06-08,Cash,27702.15,SUCCESS,TXN309009538,State Bank of India,2026-06-08,2026-07-13
900180,500180,2025-04-20,Credit Card,5560.18,SUCCESS,TXN203810954,Axis Bank,2025-04-20,2025-10-28
900181,500181,2026-04-02,UPI,20390.39,SUCCESS,TXN148644109,HDFC Bank,2026-04-02,2026-04-19
900182,500182,2026-02-23,Debit Card,20628.65,SUCCESS,TXN274485243,Axis Bank,2026-02-23,2026-07-30
900183,500183,2025-12-24,Net Banking,1590.34,SUCCESS,TXN975903641,HDFC Bank,2025-12-24,2026-03-28
900184,500184,2026-06-26,UPI,9036.18,SUCCESS,TXN740926818,Axis Bank,2026-06-26,2026-07-12
900185,500185,2025-03-07,Cash,36262.73,SUCCESS,TXN775410705,Punjab National Bank,2025-03-07,2026-03-31
900186,500186,2025-09-02,Net Banking,19230.63,SUCCESS,TXN262598077,Axis Bank,2025-09-02,2025-12-15
900187,500187,2026-02-26,Cash,24063.93,SUCCESS,TXN322631460,Kotak Mahindra Bank,2026-02-26,2026-05-20
900188,500188,2026-04-17,Debit Card,23252.5,SUCCESS,TXN825708356,Punjab National Bank,2026-04-17,2026-07-13
900189,500189,2026-02-02,Debit Card,11601.22,SUCCESS,TXN928042067,State Bank of India,2026-02-02,2026-03-27
900190,500190,2025-12-23,UPI,1700.23,SUCCESS,TXN715766024,Punjab National Bank,2025-12-23,2026-05-11
900191,500191,2025-12-04,Wallet,49626.48,SUCCESS,TXN184857208,State Bank of India,2025-12-04,2026-07-28
900192,500192,2026-05-09,Credit Card,6372.33,PENDING,TXN217281149,Kotak Mahindra Bank,2026-05-09,2026-07-23
900193,500193,2026-06-06,Wallet,27634.36,success,TXN607239833,HDFC Bank,2026-06-06,2026-07-19
900194,500194,2026-01-14,Debit Card,6973.66,SUCCESS,TXN444851196,State Bank of India,2026-01-14,2026-06-28
900195,500195,2025-11-23,Credit Card,18287.39,SUCCESS,TXN548700579,ICICI Bank,2025-11-23,2026-07-20
900196,500196,2025-02-04,UPI,48589.76,FAILED,TXN109950544,State Bank of India,2025-02-04,2025-05-24
900197,500197,2025-10-31,Cash,15435.49,PENDING,TXN602533479,State Bank of India,2025-10-31,2026-02-06
900198,500198,2025-12-28,Debit Card,26458.08,SUCCESS,TXN709650444,Punjab National Bank,2025-12-28,2026-07-09
900199,500199,2025-12-06,CRYPTO,8393.85,SUCCESS,TXN202418976,ICICI Bank,2025-12-06,2026-01-10
900200,500200,2025-11-02,Debit Card,36378.69,SUCCESS,TXN725412469,Punjab National Bank,2025-11-02,2025-11-07
900201,500201,2026-07-19,Cash,31434.94,SUCCESS,TXN855438611,State Bank of India,2026-07-19,2026-07-30
900202,500202,2026-03-03,Net Banking,40423.65,SUCCESS,TXN902874167,Kotak Mahindra Bank,2026-03-03,2026-06-06
900203,500203,2026-03-29,Wallet,30210.51,SUCCESS,TXN910395417,Kotak Mahindra Bank,2026-03-29,2026-07-18
900204,500204,2026-04-11,Cash,15188.18,SUCCESS,TXN317064188,Kotak Mahindra Bank,2026-04-11,2026-06-18
900205,500205,2025-12-18,Cash,39804.43,SUCCESS,TXN578333394,HDFC Bank,2025-12-18,2026-04-13
900206,500206,2026-06-21,Net Banking,4823.9,SUCCESS,TXN373221357,HDFC Bank,2026-06-21,2026-07-04
900207,500207,2025-12-16,Net Banking,20882.16,PENDING,TXN134075063,State Bank of India,2025-12-16,2026-03-30
900208,500208,2026-07-09,Net Banking,34070.35,SUCCESS,TXN505333621,Axis Bank,2026-07-09,2026-07-11
900209,500209,2025-12-14,Net Banking,42719.49,SUCCESS,TXN667840357,ICICI Bank,2025-12-14,2026-06-18
900210,500210,2025-08-26,Cash,21370.33,SUCCESS,TXN507245006,ICICI Bank,2025-08-26,2025-12-30
900211,500211,2026-03-04,Net Banking,636.63,SUCCESS,TXN760268760,HDFC Bank,2026-03-04,2026-05-04
900212,500212,2024-12-17,Net Banking,17180.79,SUCCESS,TXN571332733,ICICI Bank,2024-12-17,2026-06-22
900213,500213,2026-07-02,Debit Card,44258.14,SUCCESS,TXN720058859,Kotak Mahindra Bank,2026-07-02,2026-07-26
900214,500214,2025-07-14,Debit Card,35278.71,SUCCESS,TXN165452764,Kotak Mahindra Bank,2025-07-14,2026-05-12
900215,500215,2025-11-23,Cash,35270.86,REFUNDED,TXN442238518,Punjab National Bank,2025-11-23,2026-03-09
900216,500216,2025-04-16,Net Banking,17187.25,SUCCESS,TXN161873231,Kotak Mahindra Bank,2025-04-16,2025-11-13
900217,500217,2025-05-15,Debit Card,49300.13,SUCCESS,TXN199282456,Kotak Mahindra Bank,2025-05-15,2026-05-20
900218,500218,2026-03-20,Wallet,28033.96,SUCCESS,TXN820964511,Kotak Mahindra Bank,2026-03-20,2026-05-14
900219,500219,2025-11-17,Wallet,14314.5,PENDING,TXN909956465,Axis Bank,2025-11-17,2026-03-21
900220,500220,2026-05-07,Cash,9664.81,SUCCESS,TXN796559239,State Bank of India,2026-05-07,2026-06-15
900221,500221,2026-01-23,Credit Card,4114.25,SUCCESS,TXN498041381,State Bank of India,2026-01-23,2026-05-08
900222,500222,2026-07-31,Net Banking,287.26,SUCCESS,TXN416960306,ICICI Bank,2026-07-31,2026-07-31
900223,500223,2026-03-07,Net Banking,36156.56,SUCCESS,TXN876914430,Punjab National Bank,2026-03-07,2026-07-10
900224,500224,2026-07-25,Cash,41333.21,SUCCESS,TXN789137659,HDFC Bank,2026-07-25,2026-07-29
900225,500225,2025-07-01,UPI,22617.06,SUCCESS,TXN859317542,ICICI Bank,2025-07-01,2025-07-05
900226,500226,2026-05-28,Net Banking,56095.38,PENDING,TXN116891857,HDFC Bank,2026-05-28,2026-07-19
900227,500227,2026-04-15,Net Banking,16459.99,SUCCESS,TXN965615974,ICICI Bank,2026-04-15,2026-04-28
900228,500228,2026-03-20,UPI,3121.73,SUCCESS,TXN500561082,Axis Bank,2026-03-20,2026-07-15
900229,500229,2026-06-23,UPI,53409.3,SUCCESS,TXN200395400,Axis Bank,2026-06-23,2026-07-17
900230,500230,2025-10-16,Cash,15240.21,SUCCESS,TXN202393989,Kotak Mahindra Bank,2025-10-16,2025-11-06
900231,500231,2026-05-25,Debit Card,36905.66,PENDING,TXN683074772,Kotak Mahindra Bank,2026-05-25,2026-05-29
900232,500232,2026-06-22,Net Banking,43052.21,SUCCESS,TXN182611003,State Bank of India,2026-06-22,2026-07-02
900233,500233,2026-04-03,Credit Card,46183.76,SUCCESS,TXN948790854,Punjab National Bank,2026-04-03,2026-07-04
