Order Detail ID,Order ID,Product ID,Quantity,Unit Price,Discount %,Discount Amount,Tax %,Tax Amount,Line Total,Created Date,Updated Date
ORDDET800030,ORD500012,PROD01154,2,3481.03,10,696.21,18,1127.85,7393.7,2026-02-17,2026-04-13
ORDDET800031,ORD500012,PROD01185,5,2693.7,15,2020.28,0,0.0,11448.22,2026-02-17,2026-06-25
ORDDET800032,ORD500013,PROD01025,5,1270.77,0,0.0,5,317.69,6671.54,2024-11-15,2025-07-13
ORDDET800033,ORD500014,PROD01139,4,1202.19,20,961.75,12,461.64,4308.65,2025-10-08,2026-07-24
ORDDET800034,ORD500015,PROD01088,2,12732.19,10,2546.44,0,0.0,22917.94,2025-04-29,2025-12-19
ORDDET800035,ORD500015,PROD01118,1,965.04,0,0.0,28,270.21,1235.25,2025-04-29,2026-01-29
ORDDET800036,ORD500015,PROD01020,3,2210.23,10,663.07,18,1074.17,7041.79,2025-04-29,2025-07-18
ORDDET800037,ORD500015,PROD01013,5,259.33,0,0.0,5,64.83,1361.48,2025-04-29,2026-04-05
ORDDET800038,ORD500016,PROD01005,1,29437.81,20,5887.56,0,0.0,23550.25,2024-04-10,2024-09-16
ORDDET800039,ORD500017,PROD01057,5,6203.66,15,4652.74,5,1318.28,27683.84,2025-03-29,2025-08-04
ORDDET800040,ORD500017,PROD01105,1,308.5,10,30.85,12,33.32,310.97,2025-03-29,2026-04-27
ORDDET800041,ORD500017,PROD01101,5,2202.01,0,0.0,12,1321.21,12331.26,2025-03-29,2025-05-25
ORDDET800042,ORD500018,PROD01083,5,5911.93,5,1477.98,5,1404.08,29485.75,2024-06-17,2025-08-31
ORDDET800043,ORD500018,PROD01012,3,410.03,5,61.5,12,140.23,1308.82,2024-06-17,2026-05-16
ORDDET800044,ORD500018,PROD01040,5,27280.17,5,6820.04,18,23324.55,152905.36,2024-06-17,2025-02-14
ORDDET800045,ORD500018,PROD01190,3,1326.79,15,597.06,0,0.0,3383.31,2024-06-17,2026-05-03
ORDDET800046,ORD500018,PROD01080,1,2014.27,15,302.14,28,479.4,2191.53,2024-06-17,2025-01-30
ORDDET800047,ORD500019,PROD01149,1,1529.45,5,76.47,12,174.36,1627.34,2024-08-10,2025-09-22
ORDDET800048,ORD500019,PROD01067,4,4441.93,20,3553.54,0,0.0,14214.18,2024-08-10,2025-07-15
ORDDET800049,ORD500020,PROD01079,1,359.65,0,0.0,18,64.74,424.39,2024-07-09,2026-03-11
ORDDET800050,ORD500020,PROD01128,4,642.23,150,513.78,5,102.76,2157.9,2024-07-09,2025-01-19
ORDDET800051,ORD500020,PROD01107,2,3267.2,10,653.44,0,0.0,5880.96,2024-07-09,2025-09-23
ORDDET800052,ORD500021,PROD01144,5,27868.24,10,13934.12,0,0.0,125407.08,2024-09-24,2025-11-16
ORDDET800053,ORD500021,PROD01037,4,79442.35,5,15888.47,5,15094.05,316974.98,2024-09-24,2026-06-16
ORDDET800054,ORD500021,PROD01036,5,91027.0,20,91027.0,18,65539.44,429647.44,2024-09-24,2026-07-26
ORDDET800055,ORD500022,PROD01109,1,62124.95,10,6212.5,12,6709.49,62621.94,2024-04-12,2025-09-21
ORDDET800056,ORD500022,PROD01016,3,55555.68,5,8333.35,12,19000.04,177333.73,2024-04-12,2026-07-16
ORDDET800057,ORD500023,PROD01022,4,1514.99,15,908.99,28,1442.27,6593.24,2025-10-31,2026-02-07
ORDDET800058,ORD500024,PROD01139,4,1202.19,5,240.44,12,548.2,5116.52,2024-07-27,2025-01-23
ORDDET800059,ORD500025,PROD01100,4,1656.12,5,331.22,28,1762.11,8055.37,2024-06-14,2025-10-02
ORDDET800060,ORD500026,PROD01145,5,1552.39,15,1164.29,12,791.72,7389.38,2025-03-16,2026-05-15
ORDDET800061,ORD500026,PROD01125,2,6499.17,10,1299.83,18,2105.73,13804.24,2025-03-16,2026-04-12
ORDDET800062,ORD500026,PROD01192,2,597.95,10,119.59,28,301.37,1377.68,2025-03-16,2025-09-03
ORDDET800063,ORD500026,PROD01142,2,3103.83,0,0.0,18,1117.38,7325.04,2025-03-16,2025-10-14
ORDDET800064,ORD500026,PROD01123,5,30962.55,0,0.0,12,18577.53,173390.28,2025-03-16,2026-05-28
ORDDET800065,ORD500027,PROD01155,4,1240.64,20,992.51,28,1111.61,5081.66,2026-02-06,2026-06-25
ORDDET800066,ORD500027,PROD01116,4,1715.37,10,686.15,12,741.04,6916.37,2026-02-06,2026-07-27
ORDDET800067,ORD500027,PROD01172,5,13647.81,20,13647.81,5,2729.56,57320.8,2026-02-06,2026-02-12
ORDDET800068,ORD500027,PROD01017,4,51856.46,5,10371.29,28,55175.27,252229.82,2026-02-06,2026-02-18
ORDDET800069,ORD500028,PROD01119,4,73453.92,10,29381.57,0,0.0,264434.11,2024-09-11,2024-12-03
ORDDET800070,ORD500028,PROD01106,1,1562.47,0,0.0,28,437.49,1999.96,2024-09-11,2024-10-12
ORDDET800071,ORD500028,PROD01016,1,55555.68,20,11111.14,12,5333.34,49777.88,2024-09-11,2025-04-22
ORDDET800072,ORD500029,PROD01194,2,101952.94,10,20390.59,0,0.0,183515.29,2025-11-06,2025-12-31
ORDDET800073,ORD500030,PROD01193,1,3375.49,20,675.1,28,756.11,3456.5,2024-07-01,2026-06-08
ORDDET800074,ORD500030,PROD01001,1,707.06,20,141.41,0,0.0,565.65,2024-07-01,2024-08-12
ORDDET800075,ORD500031,PROD01182,4,1793.12,0,0.0,18,1291.05,8463.53,2024-02-15,2025-05-03
ORDDET800076,ORD500031,PROD01187,5,229.48,10,114.74,28,289.14,1321.8,2024-02-15,2025-11-06
ORDDET800077,ORD500031,PROD01114,3,2756.04,10,826.81,12,892.96,8334.27,2024-02-15,2026-07-06
ORDDET800078,ORD500031,PROD01192,5,597.95,20,597.95,28,669.7,3061.5,2024-02-15,2025-12-30
ORDDET800079,ORD500032,PROD01077,3,1207.62,10,362.29,28,912.96,4173.53,2024-11-03,2026-07-06
ORDDET800080,ORD500032,PROD01112,4,1228.78,15,737.27,18,752.01,4929.86,2024-11-03,2026-05-25
ORDDET800081,ORD500032,PROD01031,1,291.53,10,29.15,28,73.47,335.85,2024-11-03,2025-06-17
ORDDET800082,ORD500033,PROD01149,4,1529.45,20,1223.56,12,587.31,5481.55,2025-02-19,2026-01-23
ORDDET800083,ORD500033,PROD01082,3,56385.82,0,0.0,28,47364.09,216521.55,2025-02-19,2025-08-27
ORDDET800084,ORD500033,PROD01173,5,2229.41,10,1114.7,0,0.0,10032.35,2025-02-19,2025-06-01
ORDDET800085,ORD500034,PROD01129,3,6338.67,0,0.0,18,3422.88,22438.89,2024-03-27,2024-05-21
ORDDET800086,ORD500034,PROD01011,1,48348.72,20,9669.74,18,6962.22,45641.2,2024-03-27,2025-01-12
ORDDET800087,ORD500035,PROD01013,1,259.33,0,0.0,5,12.97,272.3,2026-02-25,2026-06-07
ORDDET800088,ORD500035,PROD01158,3,1092.39,0,0.0,18,589.89,3867.06,2026-02-25,2026-04-29
ORDDET800089,ORD500035,PROD01094,5,838.87,15,629.15,18,641.74,4206.94,2026-02-25,2026-06-20
ORDDET800090,ORD500035,PROD01045,1,319.91,20,63.98,5,12.8,268.73,2026-02-25,2026-03-22
ORDDET800091,ORD500036,PROD01190,-5,1326.79,0,0.0,0,0.0,6633.95,2024-04-19,2024-09-26
ORDDET800092,ORD500036,PROD01066,3,2196.7,15,988.51,0,0.0,5601.59,2024-04-19,2024-06-30
ORDDET800093,ORD500037,PROD01027,4,5986.52,0,0.0,28,6704.9,30650.98,2025-09-01,2026-06-06
ORDDET800094,ORD500037,PROD01178,3,902.81,20,541.69,0,0.0,2166.74,2025-09-01,2026-06-19
ORDDET800095,ORD500038,PROD01175,5,38114.57,20,38114.57,28,42688.32,195146.6,2026-02-23,2026-06-29
ORDDET800096,ORD500038,PROD01095,1,96139.97,0,0.0,12,11536.8,107676.77,2026-02-23,2026-04-22
ORDDET800097,ORD500038,PROD01131,3,105767.02,20,63460.21,28,71075.44,324916.29,2026-02-23,2026-03-05
ORDDET800098,ORD500039,PROD01109,4,62124.95,15,37274.97,12,25346.98,236571.81,2024-06-05,2024-09-06
ORDDET800099,ORD500039,PROD01172,4,13647.81,15,8188.69,5,2320.13,48722.68,2024-06-05,2025-03-27
ORDDET800100,ORD500039,PROD01179,3,1114.88,10,334.46,12,361.22,3371.4,2024-06-05,2024-10-01
ORDDET800101,ORD500039,PROD01087,5,1697.74,15,1273.3,5,360.77,7576.17,2024-06-05,2025-08-02
ORDDET800102,ORD500039,PROD01019,1,11527.57,5,576.38,5,547.56,11498.75,2024-06-05,2025-03-05
ORDDET800103,ORD500040,PROD01102,2,4407.65,5,440.76,12,1004.94,9379.48,2026-02-22,2026-05-12
ORDDET800104,ORD500040,PROD01011,4,48348.72,0,0.0,18,34811.08,228205.96,2026-02-22,2026-04-02
ORDDET800105,ORD500040,PROD01031,4,291.53,5,58.31,28,310.19,1418.0,2026-02-22,2026-06-18
ORDDET800106,ORD500040,PROD01195,1,37705.83,10,3770.58,50,9501.87,43437.12,2026-02-22,2026-06-08
ORDDET800107,ORD500040,PROD01174,5,30396.85,20,30396.85,18,21885.73,143473.13,2026-02-22,2026-06-27
ORDDET800108,ORD500041,PROD01162,4,2359.78,10,943.91,5,424.76,8919.97,2024-01-30,2026-07-08
ORDDET800109,ORD500041,PROD01127,1,1959.22,10,195.92,18,317.39,2080.69,2024-01-30,2026-03-02
ORDDET800110,ORD500041,PROD01088,2,12732.19,15,3819.66,0,0.0,21644.72,2024-01-30,2024-03-07
ORDDET800111,ORD500041,PROD01095,1,96139.97,20,19227.99,12,9229.44,86141.42,2024-01-30,2025-05-11
ORDDET800112,ORD500042,PROD01111,3,3126.85,20,1876.11,28,2101.24,9605.68,2025-03-14,2026-03-03
ORDDET800113,ORD500042,PROD01027,3,5986.52,15,2693.93,28,4274.38,19540.01,2025-03-14,2026-06-03
ORDDET800114,ORD500042,PROD01095,2,96139.97,0,0.0,12,23073.59,215353.53,2025-03-14,2025-10-22
ORDDET800115,ORD500043,PROD01170,1,24545.25,0,0.0,5,1227.26,25772.51,2026-05-04,2026-06-14
ORDDET800116,ORD500043,PROD01194,5,101952.94,5,25488.24,0,0.0,484276.46,2026-05-04,2026-05-25
ORDDET800117,ORD500043,PROD01191,5,105546.1,5,26386.52,50,0.0,501343.98,2026-05-04,2026-06-02
ORDDET800118,ORD500044,PROD01073,5,1816.02,5,454.0,0,0.0,8626.1,2025-09-28,2025-11-04
ORDDET800119,ORD500044,PROD01020,3,2210.23,15,994.6,18,1014.5,6650.59,2025-09-28,2026-03-01
ORDDET800120,ORD500044,PROD01176,5,25011.22,10,12505.61,50,20259.09,132809.58,2025-09-28,2026-02-26
ORDDET800121,ORD500045,PROD01011,5,48348.72,15,36261.54,18,36986.77,242468.83,2024-11-14,2025-09-03
ORDDET800122,ORD500046,PROD01029,2,38172.05,0,0.0,0,0.0,76344.1,2025-09-06,2026-07-24
ORDDET800123,ORD500046,PROD01124,1,4880.58,10,488.06,12,527.1,4919.62,2025-09-06,2026-02-20
ORDDET800124,ORD500046,PROD01100,5,1656.12,20,1656.12,28,1854.85,8479.33,2025-09-06,2026-01-23
ORDDET800125,ORD500047,PROD01149,1,1529.45,15,229.42,12,156.0,1456.03,2025-03-19,2026-07-25
ORDDET800126,ORD500047,PROD01182,4,1793.12,20,1434.5,18,1032.84,6770.82,2025-03-19,2025-09-22
ORDDET800127,ORD500047,PROD01134,3,612.18,20,367.31,18,264.46,1733.69,2025-03-19,2025-09-30
ORDDET800128,ORD500048,PROD01137,3,88021.49,20,52812.89,28,59150.44,270402.02,2025-03-22,2025-07-13
ORDDET800129,ORD500048,PROD01072,1,347.82,5,17.39,28,92.52,422.95,2025-03-22,2025-04-14
ORDDET800130,ORD500048,PROD01149,2,1529.45,15,458.84,12,312.01,2912.07,2025-03-22,2025-11-09
ORDDET800131,ORD500048,PROD01047,2,605.77,15,181.73,28,288.35,1318.16,2025-03-22,2026-02-20
ORDDET800132,ORD500048,PROD01059,3,993.3,5,148.99,5,141.55,2972.46,2025-03-22,2025-11-04
ORDDET800133,ORD500049,PROD01028,1,1441.79,15,216.27,5,61.28,1286.8,2026-05-21,2026-06-25
ORDDET800134,ORD500049,PROD01186,5,92459.97,0,0.0,5,23114.99,485414.84,2026-05-21,2026-05-27
ORDDET800135,ORD500049,PROD01145,5,1552.39,5,388.1,12,884.86,8258.71,2026-05-21,2026-06-17
ORDDET800136,ORD500050,PROD01176,2,25011.22,5,2501.12,18,8553.84,56075.16,2026-01-07,2026-05-25
ORDDET800137,ORD500050,PROD01086,2,1330.89,20,532.36,0,0.0,2129.42,2026-01-07,2026-03-30
ORDDET800138,ORD500050,PROD01019,1,11527.57,15,1729.14,5,489.92,10288.35,2026-01-07,2026-05-01
ORDDET800139,ORD500051,PROD01054,5,1874.14,10,937.07,28,2361.42,10795.05,2025-08-18,2026-04-09
ORDDET800140,ORD500052,PROD01095,4,96139.97,15,57683.98,12,39225.11,366101.01,2026-02-19,2026-03-09
ORDDET800141,ORD500053,PROD01025,5,1270.77,10,635.38,5,285.92,6004.39,2024-02-25,2025-03-21
ORDDET800142,ORD500053,PROD01101,1,2202.01,20,440.4,12,211.39,1973.0,2024-02-25,2026-03-04
ORDDET800143,ORD500053,PROD01162,4,2359.78,15,1415.87,5,401.16,8424.41,2024-02-25,2026-03-13
ORDDET800144,ORD500053,PROD01125,4,6499.17,0,0.0,18,4679.4,30676.08,2024-02-25,2024-05-28
ORDDET800145,ORD500053,PROD01075,5,859.5,0,0.0,5,214.88,4512.38,2024-02-25,2025-10-17
ORDDET800146,ORD500054,PROD01027,1,5986.52,10,598.65,28,1508.6,6896.47,2025-05-04,2026-03-07
ORDDET800147,ORD500054,PROD01057,1,6203.66,10,620.37,5,279.16,5862.45,2025-05-04,2026-07-10
ORDDET800148,ORD500054,PROD01043,5,957.97,20,957.97,28,1072.93,4904.81,2025-05-04,2026-03-14
ORDDET800149,ORD500054,PROD01101,1,2202.01,5,110.1,50,251.03,2342.94,2025-05-04,2025-09-20
ORDDET800150,ORD500055,PROD01177,4,1145.11,0,0.0,18,824.48,5404.92,2025-09-02,2025-11-13
ORDDET800151,ORD500055,PROD01012,4,410.03,10,164.01,12,177.13,1653.24,2025-09-02,2025-11-21
ORDDET800152,ORD500055,PROD01023,1,2400.1,5,120.0,18,410.42,2690.52,2025-09-02,2025-11-21
ORDDET800153,ORD500055,PROD01102,5,4407.65,15,3305.74,12,2247.9,20980.41,2025-09-02,2026-04-02
ORDDET800154,ORD500055,PROD01093,5,875.79,15,656.84,12,446.65,-100.0,2025-09-02,2026-05-29
ORDDET800155,ORD500056,PROD01105,2,308.5,5,30.85,12,70.34,656.49,2024-07-31,2025-04-18
ORDDET800156,ORD500056,PROD01062,5,143.32,5,35.83,12,81.69,762.46,2024-07-31,2025-12-25
ORDDET800157,ORD500056,PROD01130,4,73920.48,0,0.0,5,14784.1,310466.02,2024-07-31,2025-11-13
ORDDET800158,ORD500057,PROD01142,3,3103.83,0,0.0,18,1676.07,10987.56,2025-12-24,2026-04-06
ORDDET800159,ORD500057,PROD01170,3,24545.25,0,0.0,5,3681.79,77317.54,2025-12-24,2026-04-14
ORDDET800160,ORD500057,PROD01072,3,347.82,10,104.35,28,262.95,1202.06,2025-12-24,2026-02-18
ORDDET800161,ORD500057,PROD01137,3,88021.49,10,26406.45,28,66544.25,304202.27,2025-12-24,2026-06-28
ORDDET800162,ORD500058,PROD01193,5,3375.49,5,843.87,28,4489.4,20522.98,2024-06-01,2026-07-19
ORDDET800163,ORD500058,PROD01145,5,1552.39,20,1552.39,12,745.15,6954.71,2024-06-01,2025-09-03
ORDDET800164,ORD500059,PROD01088,2,12732.19,15,3819.66,0,0.0,21644.72,2024-10-05,2024-12-13
ORDDET800165,ORD500059,PROD01124,1,4880.58,10,488.06,12,527.1,4919.62,2024-10-05,2026-01-20
ORDDET800166,ORD500059,PROD01176,1,25011.22,20,5002.24,18,3601.62,23610.6,2024-10-05,2026-06-05
ORDDET800167,ORD500060,PROD01112,5,1228.78,5,307.2,18,1050.61,6887.31,2024-01-22,2024-12-16
ORDDET800168,ORD500060,PROD01070,3,63420.69,0,0.0,0,0.0,190262.07,2024-01-22,2025-06-21
ORDDET800169,ORD500060,PROD01200,5,2012.78,5,503.2,0,0.0,9560.7,2024-01-22,2025-01-28
ORDDET800170,ORD500060,PROD01106,3,1562.47,0,0.0,28,1312.47,5999.88,2024-01-22,2024-12-24
ORDDET800171,ORD500061,PROD01146,2,60482.56,10,12096.51,18,19596.35,128464.96,2024-04-03,2024-06-25
ORDDET800172,ORD500061,PROD01195,4,37705.83,5,7541.17,28,40119.0,183401.15,2024-04-03,2025-12-03
ORDDET800173,ORD500061,PROD01150,2,1421.23,20,568.49,5,113.7,2387.67,2024-04-03,2024-07-07
ORDDET800174,ORD500061,PROD01079,2,359.65,10,71.93,18,116.53,763.9,2024-04-03,2026-05-27
ORDDET800175,ORD500061,PROD01017,1,51856.46,20,10371.29,28,11615.85,53101.02,2024-04-03,2026-06-01
ORDDET800176,ORD500062,PROD01152,2,115404.31,20,46161.72,28,51701.13,236348.03,2024-03-31,2025-04-20
ORDDET800177,ORD500062,PROD01010,4,26472.0,0,0.0,28,29648.64,135536.64,2024-03-31,2025-05-25
ORDDET800178,ORD500062,PROD01104,4,36200.22,5,7240.04,28,38517.04,176077.88,2024-03-31,2025-09-28
ORDDET800179,ORD500062,PROD01077,5,1207.62,15,905.71,28,1437.07,6569.46,2024-03-31,2025-07-16
ORDDET800180,ORD500062,PROD01194,2,101952.94,20,40781.18,0,0.0,163124.7,2024-03-31,2024-08-19
ORDDET800181,ORD500063,PROD01050,1,2611.12,10,261.11,28,658.0,3008.01,2026-02-13,2026-03-06
ORDDET800182,ORD500063,PROD01057,2,6203.66,15,1861.1,5,527.31,11073.53,2026-02-13,2026-05-13
ORDDET800183,ORD500063,PROD01006,1,2435.39,10,243.54,5,109.59,2301.44,2026-02-13,2026-04-11
ORDDET800184,ORD500063,PROD01183,2,49587.01,0,0.0,0,0.0,99174.02,2026-02-13,2026-04-27
ORDDET800185,ORD500063,PROD01014,5,2743.43,0,0.0,12,1646.06,15363.21,2026-02-13,2026-03-05
ORDDET800186,ORD500064,PROD01178,1,902.81,10,90.28,0,0.0,812.53,2024-09-02,2025-05-03
ORDDET800187,ORD500064,PROD01070,1,63420.69,15,9513.1,0,0.0,53907.59,2024-09-02,2026-05-06
ORDDET800188,ORD500064,PROD01135,1,305.44,20,61.09,5,12.22,256.57,2024-09-02,2025-08-29
ORDDET800189,ORD500064,PROD01180,1,23609.7,20,4721.94,0,0.0,18887.76,2024-09-02,2026-03-13
ORDDET800190,ORD500065,PROD01044,3,1829.09,10,548.73,12,592.62,5531.16,2024-10-06,2024-10-22
ORDDET800191,ORD500065,PROD01106,5,1562.47,10,781.24,28,1968.71,8999.82,2024-10-06,2025-02-19
ORDDET800192,ORD500065,PROD01008,4,51301.04,15,30780.62,35,61048.24,235471.78,2024-10-06,2026-07-14
ORDDET800193,ORD500065,PROD01103,2,46434.89,0,0.0,18,16716.56,109586.34,2024-10-06,2025-04-28
ORDDET800194,ORD500066,PROD01109,3,62124.95,0,0.0,12,22364.98,208739.83,2026-03-19,2026-05-06
ORDDET800195,ORD500066,PROD01017,3,51856.46,15,23335.41,28,37025.51,169259.48,2026-03-19,2026-06-29
ORDDET800196,ORD500066,PROD01138,4,69532.85,10,27813.14,12,30038.19,280356.45,2026-03-19,2026-07-29
ORDDET800197,ORD500066,PROD01148,2,1732.91,20,693.16,0,0.0,2772.66,2026-03-19,2026-06-02
ORDDET800198,ORD500067,PROD01040,2,27280.17,15,8184.05,18,8347.73,54724.02,2025-05-10,2025-11-05
ORDDET800199,ORD500067,PROD01006,1,2435.39,0,0.0,5,121.77,2557.16,2025-05-10,2026-04-18
ORDDET800200,ORD500067,PROD01197,2,580.69,20,232.28,18,167.24,1096.34,2025-05-10,2026-04-22
ORDDET800201,ORD500067,PROD01162,4,2359.78,20,1887.82,5,377.57,7928.87,2025-05-10,2025-05-26
ORDDET800202,ORD500068,PROD01029,2,38172.05,20,15268.82,0,0.0,61075.28,2026-02-01,2026-05-05
ORDDET800203,ORD500068,PROD01139,4,1202.19,20,961.75,12,461.64,4308.65,2026-02-01,2026-05-11
ORDDET800204,ORD500068,PROD01130,5,73920.48,10,36960.24,5,16632.11,349274.27,2026-02-01,2026-07-28
ORDDET800205,ORD500068,PROD01163,4,1060.78,0,0.0,28,1188.07,5431.19,2026-02-01,2026-07-25
ORDDET800206,ORD500068,PROD01176,3,25011.22,10,7503.37,18,12155.45,79685.74,2026-02-01,2026-03-13
ORDDET800207,ORD500069,PROD01200,2,2012.78,5,201.28,0,0.0,3824.28,2025-04-12,2025-08-11
ORDDET800208,ORD500070,PROD01078,2,1168.71,20,467.48,18,336.59,2206.53,2025-11-21,2026-07-05
ORDDET800209,ORD500070,PROD01041,4,3289.71,20,2631.77,28,2947.58,13474.65,2025-11-21,2025-12-09
ORDDET800210,ORD500070,PROD01124,2,4880.58,20,1952.23,12,937.07,8746.0,2025-11-21,2026-05-03
ORDDET800211,ORD500070,PROD01088,1,12732.19,20,2546.44,0,0.0,10185.75,2025-11-21,2025-12-30
ORDDET800212,ORD500070,PROD01047,5,605.77,10,302.88,28,763.27,3489.24,2025-11-21,2026-06-25
ORDDET800213,ORD500071,PROD01004,5,66915.61,0,0.0,12,40149.37,374727.42,2024-04-10,2025-09-06
ORDDET800214,ORD500071,PROD01036,5,91027.0,10,45513.5,18,73731.87,483353.37,2024-04-10,2025-11-08
ORDDET800215,ORD500071,PROD01195,3,37705.83,5,5655.87,28,30089.25,137550.87,2024-04-10,2026-06-04
ORDDET800216,ORD500071,PROD01052,3,24866.16,15,11189.77,18,11413.57,74822.28,2024-04-10,2024-12-16
ORDDET800217,ORD500071,PROD01049,4,1084.0,15,650.4,28,1031.97,4717.57,2024-04-10,2025-08-18
ORDDET800218,ORD500072,PROD01122,4,12283.11,5,2456.62,0,0.0,46675.82,2025-06-27,2026-07-21
ORDDET800219,ORD500072,PROD01184,2,623.45,5,62.34,0,0.0,1184.56,2025-06-27,2025-08-15
ORDDET800220,ORD500072,PROD01058,2,34361.58,10,6872.32,18,11133.15,72983.99,2025-06-27,2026-04-18
ORDDET800221,ORD500073,PROD01171,4,1322.89,0,0.0,12,634.99,5926.55,2024-09-17,2024-12-18
ORDDET800222,ORD500073,PROD01181,1,9153.85,10,915.38,18,1482.92,-100.0,2024-09-17,2026-02-05
ORDDET800223,ORD500073,PROD01017,1,51856.46,15,7778.47,28,12341.84,56419.83,2024-09-17,2025-02-01
ORDDET800224,ORD500074,PROD01139,5,1202.19,5,300.55,12,685.25,6395.65,2024-09-13,2025-09-19
ORDDET800225,ORD500074,PROD01166,5,2226.96,20,2226.96,12,1068.94,9976.78,2024-09-13,2025-01-12
ORDDET800226,ORD500074,PROD01173,3,2229.41,5,334.41,0,0.0,6353.82,2024-09-13,2025-04-04
ORDDET800227,ORD500074,PROD01036,4,91027.0,20,72821.6,18,52431.55,343717.95,2024-09-13,2025-12-24
ORDDET800228,ORD500074,PROD01105,4,308.5,20,246.8,12,118.46,1105.66,2024-09-13,2025-07-16
ORDDET800229,ORD500075,PROD01035,1,5674.89,10,567.49,18,919.33,6026.73,2025-02-09,2026-01-14
ORDDET800230,ORD500075,PROD01150,1,1421.23,20,284.25,5,56.85,1193.83,2025-02-09,2026-06-09
ORDDET800231,ORD500075,PROD01180,1,23609.7,20,4721.94,0,0.0,18887.76,2025-02-09,2026-06-15
ORDDET800232,ORD500075,PROD01045,2,319.91,0,0.0,5,31.99,671.81,2025-02-09,2025-06-01
ORDDET800233,ORD500076,PROD01109,5,62124.95,15,46593.71,12,31683.72,295714.76,2024-07-13,2026-07-27
ORDDET800234,ORD500076,PROD01100,5,1656.12,15,1242.09,28,1970.78,9009.29,2024-07-13,2025-05-30
ORDDET800235,ORD500076,PROD01107,3,3267.2,20,1960.32,0,0.0,7841.28,2024-07-13,2025-11-20
ORDDET800236,ORD500076,PROD01103,3,46434.89,10,13930.47,18,22567.36,147941.56,2024-07-13,2026-07-04
