Product ID,SKU,Product Name,Category,Sub Category,Brand,Supplier ID,Unit Cost,Selling Price,Profit Margin %,GST %,Weight (Kg),Warranty (Months),Launch Date,Product Status,Created Date,Updated Date
1027,SKU-FOO-SPO-1027,Running Shoes,Footwear,Sports Shoes,Aashirvaad,545,4643,5986.52,28.94,28,0.72,0,2025-02-12,ACTIVE,2025-02-12,2026-03-29
1028,SKU-BOO-BUS-1028,The Lean Startup,Books,Business,Nike,511,1122,1441.79,28.5,5,2.54,12,2025-11-05,ACTIVE,2025-11-05,2026-04-14
1029,SKU-ELE-LAP-1029,Inspiron 15,Electronics,Laptops,Asus,525,28028,38172.05,36.19,0,3.44,12,2025-03-23,ACTIVE,2025-03-23,2025-04-23
1030,SKU-BOO-BUS-1030,Atomic Habits,Books,Business,Apple,523,761,1047.17,37.6,18,1.66,36,2022-06-22,ACTIVE,2022-06-22,2023-09-14
1031,SKU-BOO-BUS-1031,Rich Dad Poor Dad,Books,Business,Raymond,535,205,291.53,42.21,28,1.74,0,2020-12-09,ACTIVE,2020-12-09,2021-09-12
1032,SKU-FOO-CAS-1032,Loafers,Footwear,Casual Shoes,Sony,506,4252,4914.53,15.58,28,0.39,12,2022-07-07,ACTIVE,2022-07-07,2026-03-02
1033,SKU-FOO-SAN-1033,Men Sandals,Footwear,Sandals,Allen Solly,514,4209,5723.56,35.98,12,0.59,24,2021-04-14,ACTIVE,2021-04-14,2023-01-11
1034,SKU-BEA-SKI-1034,Face Wash,Beauty,Skin Care,Allen Solly,545,1781,2383.29,33.82,0,2.12,12,2021-05-10,DISCONTINUED,2021-05-10,2025-09-28
1035,SKU-FOO-CAS-1035,Sneakers,Footwear,Casual Shoes,Philips,524,4166,5674.89,36.22,18,0.6,24,2023-01-11,DISCONTINUED,2023-01-11,2026-01-17
1036,SKU-ELE-TEL-1036,Android TV,Electronics,Television,Asus,549,68910,91027.0,32.1,18,2.82,18,2023-08-24,ACTIVE,2023-08-24,2026-05-18
1037,SKU-ELE-LAP-1037,MacBook Air M3,Electronics,Laptops,Asus,547,61271,79442.35,29.66,5,5.59,36,2025-07-03,ACTIVE,2025-07-03,2025-07-11
1038,SKU-GRO-OIL-1038,Groundnut Oil,Grocery,Oil,Tata,536,1454,1825.56,25.55,18,0.89,12,2022-08-02,ACTIVE,2022-08-02,2023-08-31
1039,SKU-FAS-KID-1039,Kids Jeans,Fashion,Kids,Fortune,534,2744,3388.56,23.49,0,1.27,12,2022-07-20,ACTIVE,2022-07-20,2023-07-22
1040,SKU-HOM-LAU-1040,Washing Machine,Home Appliances,Laundry,Apple,537,21134,27280.17,29.08,18,16.65,0,2022-10-31,ACTIVE,2022-10-31,2023-06-21
1041,SKU-GRO-OIL-1041,Sunflower Oil,Grocery,Oil,Asus,508,2385,3289.71,37.93,28,1.83,24,2022-07-13,DISCONTINUED,2022-07-13,2024-08-30
1042,SKU-GRO-RIC-1042,Basmati Rice,Grocery,Rice,Himalaya,514,1183,1594.84,34.81,5,0.8,24,2020-11-03,ACTIVE,2020-11-03,2020-11-13
1043,SKU-BOO-BUS-1043,Rich Dad Poor Dad,Books,Business,Nivea,515,691,957.97,38.64,28,2.02,6,2024-10-07,ACTIVE,2024-10-07,2026-04-17
1044,SKU-GRO-OIL-1044,Groundnut Oil,Grocery,Oil,Xiaomi,530,1345,1829.09,35.99,12,1.55,18,2024-11-28,ACTIVE,2024-11-28,2025-01-07
1045,SKU-BOO-TEC-1045,SQL Handbook,Books,Technology,Sony,537,232,319.91,37.89,5,1.46,36,2024-12-16,ACTIVE,2024-12-16,2025-06-19
1046,SKU-FAS-KID-1046,Kids T-Shirt,Fashion,Kids,Dell,522,1986,2697.19,35.81,12,1.04,18,2020-05-30,ACTIVE,2020-05-30,2021-05-25
1047,SKU-BEA-FRA-1047,Deodorant,Beauty,Fragrance,Philips,504,464,605.77,30.55,28,2.29,36,2024-12-15,ACTIVE,2024-12-15,2025-07-11
1048,SKU-BEA-FRA-1048,Perfume,Beauty,Fragrance,Mamaearth,511,716,941.72,31.53,28,1.28,6,2021-04-09,ACTIVE,2021-04-09,2021-12-05
1049,SKU-FOO-CAS-1049,Sneakers,Footwear,Casual Shoes,Nike,536,1584,1084.0,26.51,28,1.16,6,2020-10-12,ACTIVE,2020-10-12,2025-06-07
1050,SKU-GRO-BEV-1050,Tea,Grocery,Beverages,Nike,535,2083,2611.12,25.35,28,2.31,18,2025-02-08,ACTIVE,2025-02-08,2026-04-29
1051,SKU-BEA-HAI-1051,Conditioner,Beauty,Hair Care,Aashirvaad,525,870,1258.48,44.65,5,1.54,0,2021-06-01,DISCONTINUED,2021-06-01,2024-09-21
1052,SKU-HOM-LAU-1052,Washing Machine,Home Appliances,Laundry,OnePlus,531,19868,24866.16,25.16,18,29.94,12,2025-12-25,ACTIVE,2025-12-25,2026-03-16
1053,SKU-BEA-HAI-1053,Shampoo,Beauty,Hair Care,Tata,506,968,1397.31,44.35,0,1.39,36,2023-05-11,ACTIVE,2023-05-11,2023-08-13
1054,SKU-BEA-SKI-1054,Face Wash,Beauty,Skin Care,Dell,506,1328,1874.14,41.13,28,2.08,18,2021-08-09,ACTIVE,2021-08-09,2024-03-10
1055,SKU-GRO-PUL-1055,Toor Dal,Grocery,Pulses,Nike,523,1325,1777.73,34.17,18,2.1,18,2023-05-22,ACTIVE,2023-05-22,2025-07-17
1056,SKU-ELE-TAB-1056,Lenovo Tab,Electronics,Tablets,Apple,537,14428,20533.71,42.32,18,6.7,12,2022-07-31,DISCONTINUED,2022-07-31,2024-07-21
1057,SKU-HOM-KIT-1057,Mixer Grinder,Home Appliances,Kitchen,LG,529,4686,6203.66,32.39,5,5.88,12,2023-08-31,ACTIVE,2023-08-31,2024-08-24
1058,SKU-HOM-COO-1058,Ceiling Fan,Home Appliances,Cooling,Aashirvaad,519,24698,34361.58,39.13,18,43.4,6,2022-07-13,ACTIVE,2022-07-13,2025-08-27
1059,SKU-BEA-HAI-1059,Conditioner,Beauty,Hair Care,Prestige,541,840,993.3,18.25,5,1.47,24,2023-09-05,DISCONTINUED,2023-09-05,2024-12-01
1060,SKU-ELE-MOB-1060,Redmi Note 13,Electronics,Mobile Phones,Adidas,508,20739,25310.71,22.04,28,1.26,18,2024-02-28,DISCONTINUED,2024-02-28,2025-05-02
1061,SKU-FAS-MEN-1061,Jeans,Fashion,Men,HP,529,2121,3043.99,43.52,12,0.28,36,2024-02-13,DISCONTINUED,2024-02-13,2025-12-04
1062,SKU-BEA-SKI-1062,Sunscreen,Beauty,Skin Care,Himalaya,539,123,143.32,16.52,12,0.81,6,2022-04-20,ACTIVE,2022-04-20,2025-05-29
1063,SKU-ELE-TEL-1063,OLED TV,Electronics,Television,Lenovo,535,40853,56767.46,38.96,0,5.36,0,2021-06-23,ACTIVE,2021-06-23,2023-06-26
1064,SKU-GRO-RIC-1064,Brown Rice,Grocery,Rice,OnePlus,531,1936,2678.27,38.34,28,1.82,18,2025-08-25,ACTIVE,2025-08-25,2025-09-16
1065,SKU-FOO-CAS-1065,Loafers,Footwear,Casual Shoes,Nivea,507,4416,6022.19,36.37,18,0.42,0,2023-08-12,DISCONTINUED,2023-08-12,2024-06-10
1066,SKU-GRO-OIL-1066,Groundnut Oil,Grocery,Oil,Puma,539,1862,2196.7,17.98,0,2.57,36,2022-05-30,ACTIVE,2022-05-30,2024-12-09
1067,SKU-FAS-KID-1067,School Uniform,Fashion,Kids,IFB,510,3113,4441.93,42.69,0,0.27,0,2021-01-16,ACTIVE,2021-01-16,2021-08-01
1068,SKU-BEA-SKI-1068,Moisturizer,Beauty,Skin Care,IFB,543,1616,2063.44,27.69,0,2.91,24,2023-07-03,ACTIVE,2023-07-03,2024-01-31
1069,SKU-FAS-MEN-1069,Jeans,Fashion,Men,Allen Solly,515,3606,4611.11,27.87,28,1.47,24,2020-04-17,DISCONTINUED,2020-04-17,2023-04-17
1070,SKU-HOM-LAU-1070,Washing Machine,Home Appliances,Laundry,Lenovo,548,43995,63420.69,44.15,0,34.08,6,2024-03-20,ACTIVE,2024-03-20,2025-06-27
1071,SKU-ELE-LAP-1071,Inspiron 15,Electronics,Laptops,Fortune,540,14522,19636.51,35.22,12,3.66,18,2025-06-12,DISCONTINUED,2025-06-12,2026-01-24
1072,SKU-GRO-BEV-1072,Green Tea,Grocery,Beverages,Nivea,520,286,347.82,21.62,28,0.26,6,2023-05-19,ACTIVE,2023-05-19,2024-02-24
1073,SKU-GRO-PUL-1073,Chana Dal,Grocery,Pulses,Levis,543,1550,1816.02,17.16,0,1.37,18,2020-11-14,ACTIVE,2020-11-14,2025-09-07
1074,SKU-BOO-BUS-1074,The Lean Startup,Books,Business,IFB,506,1044,1465.09,40.33,5,1.36,18,2025-11-16,ACTIVE,2025-11-16,2026-02-25
1075,SKU-GRO-PUL-1075,Moong Dal,Grocery,Pulses,IFB,547,704,859.5,22.09,5,0.84,6,2021-09-18,ACTIVE,2021-09-18,2022-09-15
1076,SKU-GRO-OIL-1076,Mustard Oil,Grocery,Oil,Whirlpool,510,1901,2225.09,17.05,18,1.93,12,2020-08-18,ACTIVE,2020-08-18,2026-04-27
1077,SKU-BOO-TEC-1077,SQL Handbook,Books,Technology,Raymond,533,937,1207.62,28.88,28,2.87,36,2020-06-17,ACTIVE,2020-06-17,2022-07-28
1078,SKU-FAS-KID-1078,Kids T-Shirt,Fashion,Kids,Puma,542,1006,1168.71,16.17,18,1.49,24,2025-11-11,DISCONTINUED,2025-11-11,2025-12-21
1079,SKU-BEA-FRA-1079,Deodorant,Beauty,Fragrance,OnePlus,522,273,359.65,31.74,18,0.92,36,2021-09-07,ACTIVE,2021-09-07,2022-02-20
1080,SKU-GRO-RIC-1080,Premium Rice,Grocery,Rice,,525,1445,2014.27,39.4,28,0.37,36,2024-09-30,DISCONTINUED,2024-09-30,2025-10-05
1081,SKU-HOM-CLE-1081,Vacuum Cleaner,Home Appliances,Cleaning,LG,507,35771,49409.14,38.13,28,3.62,12,2021-06-20,DISCONTINUED,2021-06-20,2023-07-31
1082,SKU-ELE-TAB-1082,Lenovo Tab,Electronics,Tablets,Nivea,547,39133,56385.82,44.09,28,2.42,36,2025-01-12,ACTIVE,2025-01-12,2025-09-13
1083,SKU-FOO-CAS-1083,Loafers,Footwear,Casual Shoes,Fortune,525,4519,5911.93,30.82,5,1.69,24,2021-07-20,ACTIVE,2021-07-20,2021-11-03
1084,SKU-FAS-MEN-1084,Casual Shirt,Fashion,Men,Sony,529,2402,2868.48,19.42,18,0.27,6,2025-01-21,ACTIVE,2025-01-21,2025-02-17
1085,SKU-FAS-MEN-1085,Jeans,Fashion,Men,,510,863,1002.37,16.15,18,1.09,6,2025-04-05,ACTIVE,2025-04-05,2026-02-14
1086,SKU-GRO-BEV-1086,Tea,Grocery,Beverages,Fortune,519,1073,1330.89,24.03,0,0.79,36,2025-02-15,ACTIVE,2025-02-15,2025-04-12
1087,SKU-FAS-WOM-1087,Kurti,Fashion,Women,Raymond,523,1285,1697.74,32.12,5,1.05,0,2025-11-14,ACTIVE,2025-11-14,2025-12-01
1088,SKU-ELE-TAB-1088,Lenovo Tab,Electronics,Tablets,Sony,548,10128,12732.19,25.71,0,2.89,36,2021-02-28,DISCONTINUED,2021-02-28,2025-04-13
1089,SKU-BEA-HAI-1089,Conditioner,Beauty,Hair Care,Adidas,541,453,631.23,39.34,0,2.18,18,2020-05-31,ACTIVE,2020-05-31,2022-09-03
1090,SKU-GRO-BEV-1090,Coffee,Grocery,Beverages,Samsung,549,882,1090.0,23.58,0,2.61,12,2023-01-24,ACTIVE,2023-01-24,2025-02-15
1091,SKU-BEA-HAI-1091,Hair Oil,Beauty,Hair Care,Aashirvaad,534,626,870.36,39.04,18,0.33,24,2022-01-09,DISCONTINUED,2022-01-09,2023-09-02
1092,SKU-BEA-HAI-1092,Hair Oil,Beauty,Hair Care,Nike,503,1568,2212.47,41.1,12,1.88,18,2023-01-29,ACTIVE,2023-01-29,2023-07-01
1093,SKU-BOO-BUS-1093,Rich Dad Poor Dad,Books,Business,Lenovo,505,633,875.79,38.36,12,1.15,24,2020-05-12,DISCONTINUED,2020-05-12,2022-01-30
1094,SKU-FOO-CAS-1094,Loafers,Footwear,Casual Shoes,Asus,508,612,838.87,37.07,18,1.18,24,2021-04-27,ACTIVE,2021-04-27,2025-08-31
1095,SKU-ELE-LAP-1095,MacBook Air M3,Electronics,Laptops,Nike,512,66341,96139.97,44.92,12,5.41,36,2020-09-22,DISCONTINUED,2020-09-22,2023-12-25
1096,SKU-GRO-PUL-1096,Toor Dal,Grocery,Pulses,HP,509,1069,1482.82,38.71,0,1.15,24,2024-02-20,ACTIVE,2024-02-20,2026-05-22
1097,SKU-FOO-SAN-1097,Women Sandals,Footwear,Sandals,Fortune,527,1004,1192.35,18.76,12,1.39,18,2025-03-23,DISCONTINUED,2025-03-23,2025-09-15
1098,SKU-GRO-RIC-1098,Basmati Rice,Grocery,Rice,Puma,510,1345,1613.19,19.94,12,2.81,6,2023-11-18,DISCONTINUED,2023-11-18,2026-05-22
1099,SKU-GRO-RIC-1099,Brown Rice,Grocery,Rice,Himalaya,511,2478,2964.33,19.63,28,2.19,24,2023-10-14,DISCONTINUED,2023-10-14,2023-11-25
1100,SKU-BOO-BUS-1100,The Lean Startup,Books,Business,Himalaya,502,1169,1656.12,41.67,28,0.94,12,2025-06-01,ACTIVE,2025-06-01,2026-05-17
1101,SKU-FAS-KID-1101,Kids T-Shirt,Fashion,Kids,Whirlpool,546,1607,2202.01,37.03,12,1.47,6,2024-02-26,DISCONTINUED,2024-02-26,2025-09-23
1102,SKU-FOO-SAN-1102,Women Sandals,Footwear,Sandals,Asus,511,3082,4407.65,43.01,12,0.62,6,2025-08-02,DISCONTINUED,2025-08-02,2026-03-29
1103,SKU-HOM-COO-1103,Air Conditioner,Home Appliances,Cooling,Samsung,519,34933,46434.89,32.93,18,14.29,0,2021-03-16,ACTIVE,2021-03-16,2021-12-15
1104,SKU-HOM-COO-1104,Air Cooler,Home Appliances,Cooling,LG,505,27819,36200.22,30.13,28,14.03,24,2021-05-01,ACTIVE,2021-05-01,2021-11-15
1105,SKU-GRO-BEV-1105,Green Tea,Grocery,Beverages,Samsung,503,259,308.5,19.11,12,2.43,24,2025-02-14,ACTIVE,2025-02-14,2025-12-21
1106,SKU-BOO-BUS-1106,The Lean Startup,Books,Business,Whirlpool,533,1193,1562.47,30.97,28,0.97,0,2024-02-17,ACTIVE,2024-02-17,2026-01-06
1107,SKU-GRO-BEV-1107,Coffee,Grocery,Beverages,Himalaya,550,2469,3267.2,32.33,0,1.79,6,2025-11-17,DISCONTINUED,2025-11-17,2026-06-03
1108,SKU-ELE-TAB-1108,Lenovo Tab,Electronics,Tablets,Philips,510,62127,84315.66,35.72,18,4.11,24,2025-04-15,ACTIVE,2025-04-15,2026-04-11
1109,SKU-HOM-LAU-1109,Washing Machine,Home Appliances,Laundry,Levis,523,44659,62124.95,39.11,12,28.23,6,2022-10-06,ACTIVE,2022-10-06,2025-11-21
1110,SKU-FOO-CAS-1110,Loafers,Footwear,Casual Shoes,IFB,536,2640,3263.93,23.63,28,1.45,18,2024-06-04,ACTIVE,2024-06-04,2024-10-31
1111,SKU-FOO-SPO-1111,Running Shoes,Footwear,Sports Shoes,Levis,518,2625,3126.85,19.12,28,1.56,6,2022-09-20,ACTIVE,2022-09-20,2026-06-22
1112,SKU-BEA-SKI-1112,Face Wash,Beauty,Skin Care,Levis,511,913,1228.78,34.59,18,1.48,6,2023-03-22,ACTIVE,2023-03-22,2024-10-26
1113,SKU-ELE-LAP-1113,Pavilion 15,Electronics,Laptops,Dell,503,60034,83230.43,38.64,5,7.51,12,2020-06-02,ACTIVE,2020-06-02,2023-10-07
1114,SKU-FOO-SPO-1114,Walking Shoes,Footwear,Sports Shoes,Nike,518,1979,2756.04,39.26,12,0.58,18,2022-11-19,ACTIVE,2022-11-19,2022-12-17
1115,SKU-FOO-CAS-1115,Loafers,Footwear,Casual Shoes,OnePlus,526,1181,1423.62,20.54,5,1.11,6,2020-01-28,ACTIVE,2020-01-28,2024-05-17
1116,SKU-BEA-HAI-1116,Conditioner,Beauty,Hair Care,Asus,504,1447,1715.37,18.55,12,0.56,36,2025-08-20,ACTIVE,2025-08-20,2025-10-19
1117,SKU-FOO-SAN-1117,Women Sandals,Footwear,Sandals,Philips,545,4899,6975.39,42.38,28,1.66,6,2022-10-10,DISCONTINUED,2022-10-10,2023-03-26
1118,SKU-GRO-PUL-1118,Chana Dal,Grocery,Pulses,Levis,510,773,965.04,24.84,28,1.38,36,2022-04-21,DISCONTINUED,2022-04-21,2025-01-16
1119,SKU-ELE-TAB-1119,Lenovo Tab,Electronics,Tablets,Tata,502,59897,73453.92,22.63,0,6.02,24,2020-10-26,ACTIVE,2020-10-26,2025-07-27
1120,SKU-ELE-TEL-1120,Android TV,Electronics,Television,Dell,550,25750,35528.52,37.97,18,3.12,18,2025-01-11,ACTIVE,2025-01-11,2026-01-30
1121,SKU-GRO-BEV-1121,Green Tea,Grocery,Beverages,Lenovo,547,1012,1417.25,40.04,0,2.94,18,2024-10-03,DISCONTINUED,2024-10-03,2025-10-26
1122,SKU-ELE-MOB-1122,Nothing Phone 2,Electronics,Mobile Phones,Raymond,550,10050,12283.11,22.22,0,0.99,0,2025-01-02,DISCONTINUED,2025-01-02,2025-02-20
1123,SKU-HOM-COO-1123,Air Conditioner,Home Appliances,Cooling,Tata,537,23399,30962.55,32.32,12,12.19,6,2025-11-05,ACTIVE,2025-11-05,2026-02-18
1124,SKU-FOO-SAN-1124,Women Sandals,Footwear,Sandals,Samsung,523,3522,4880.58,38.57,12,1.48,18,2021-09-03,ACTIVE,2021-09-03,2023-10-13
1125,SKU-FOO-SPO-1125,Walking Shoes,Footwear,Sports Shoes,Philips,527,4965,6499.17,30.9,18,0.71,6,2023-09-14,ACTIVE,2023-09-14,2026-04-15
1126,SKU-GRO-RIC-1126,Basmati Rice,Grocery,Rice,HP,549,2389,2902.89,21.51,5,2.62,12,2023-05-26,ACTIVE,2023-05-26,2024-08-01
1127,SKU-GRO-PUL-1127,Moong Dal,Grocery,Pulses,Asus,536,1417,1959.22,38.27,18,1.45,36,2024-01-11,ACTIVE,2024-01-11,2024-10-04
1128,SKU-FAS-MEN-1128,Jeans,Fashion,Men,Whirlpool,527,487,642.23,31.87,5,1.15,0,2022-12-04,DISCONTINUED,2022-12-04,2026-03-14
1129,SKU-FOO-SAN-1129,Women Sandals,Footwear,Sandals,Sony,549,4402,6338.67,44.0,18,1.08,36,2023-12-13,ACTIVE,2023-12-13,2024-05-04
1130,SKU-ELE-MOB-1130,Galaxy S24 Ultra,Electronics,Mobile Phones,Fortune,501,62053,73920.48,19.12,5,0.73,6,2020-02-07,ACTIVE,2020-02-07,2025-10-09
1131,SKU-ELE-MOB-1131,Nothing Phone 2,Electronics,Mobile Phones,Apple,502,77391,105767.02,36.67,28,7.82,0,2025-08-19,ACTIVE,2025-08-19,2025-11-18
1132,SKU-FAS-WOM-1132,Kurti,Fashion,Women,IFB,526,2180,1680.0,31.95,5,0.55,0,2020-05-09,ACTIVE,2020-05-09,2024-11-24
1133,SKU-FOO-SAN-1133,Women Sandals,Footwear,Sandals,Allen Solly,507,4726,6738.07,42.57,5,0.66,36,2025-05-01,ACTIVE,2025-05-01,2025-05-24
1134,SKU-BOO-BUS-1134,Rich Dad Poor Dad,Books,Business,HP,538,445,612.18,37.57,18,2.79,12,2021-10-27,DISCONTINUED,2021-10-27,2023-03-03
1135,SKU-BOO-TEC-1135,SQL Handbook,Books,Technology,Tata,523,259,305.44,17.93,5,2.53,12,2024-06-12,ACTIVE,2024-06-12,2024-07-12
1136,SKU-HOM-LAU-1136,Washing Machine,Home Appliances,Laundry,Fortune,540,21857,30368.48,38.94,0,5.53,6,2024-04-05,ACTIVE,2024-04-05,2026-05-02
1137,SKU-ELE-LAP-1137,MacBook Air M3,Electronics,Laptops,Dell,528,66830,88021.49,31.71,28,3.38,0,2021-01-02,ACTIVE,2021-01-02,2024-02-11
1138,SKU-ELE-LAP-1138,IdeaPad Slim 5,Electronics,Laptops,Puma,511,57903,69532.85,20.09,12,2.55,18,2021-08-20,ACTIVE,2021-08-20,2022-07-28
1139,SKU-BEA-HAI-1139,Conditioner,Beauty,Hair Care,Raymond,513,1017,1202.19,18.21,12,0.12,18,2023-09-22,DISCONTINUED,2023-09-22,2024-10-15
1140,SKU-HOM-COO-1140,Ceiling Fan,Home Appliances,Cooling,Raymond,545,15663,20263.27,29.37,5,43.48,12,2023-04-08,ACTIVE,2023-04-08,2026-06-30
1141,SKU-HOM-CLE-1141,Vacuum Cleaner,Home Appliances,Cleaning,Tata,530,16239,20810.87,28.15,12,37.75,0,2024-08-02,ACTIVE,2024-08-02,2024-12-22
1142,SKU-GRO-BEV-1142,Green Tea,Grocery,Beverages,Prestige,535,2175,3103.83,42.7,18,1.68,12,2020-12-14,ACTIVE,2020-12-14,2025-04-06
1143,SKU-BEA-HAI-1143,Hair Oil,Beauty,Hair Care,Aashirvaad,528,296,341.34,15.32,12,0.74,36,2025-10-25,DISCONTINUED,2025-10-25,2026-03-22
1144,SKU-HOM-COO-1144,Air Conditioner,Home Appliances,Cooling,Adidas,507,21861,27868.24,27.48,0,6.99,36,2021-08-03,ACTIVE,2021-08-03,2023-05-03
1145,SKU-FOO-CAS-1145,Sneakers,Footwear,Casual Shoes,LG,503,1342,1552.39,15.68,12,1.4,36,2021-11-04,ACTIVE,2021-11-04,2024-09-25
1146,SKU-HOM-CLE-1146,Steam Mop,Home Appliances,Cleaning,Prestige,502,42746,60482.56,41.49,18,27.46,18,2020-01-19,ACTIVE,2020-01-19,2022-05-10
1147,SKU-FAS-WOM-1147,Top,Fashion,Women,Nike,508,1374,1856.56,35.12,18,0.86,36,2023-07-07,DISCONTINUED,2023-07-07,2025-09-09
1148,SKU-BEA-HAI-1148,Conditioner,Beauty,Hair Care,Allen Solly,506,1456,1732.91,19.02,0,0.79,0,2022-01-19,ACTIVE,2022-01-19,2025-12-09
1149,SKU-GRO-PUL-1149,Chana Dal,Grocery,Pulses,Dell,532,1283,1529.45,19.21,12,2.54,24,2020-08-07,ACTIVE,2020-08-07,2020-09-15
1150,SKU-FOO-CAS-1150,Loafers,Footwear,Casual Shoes,Adidas,511,1077,1421.23,31.96,5,0.8,12,2022-07-09,DISCONTINUED,2022-07-09,2024-02-20
1151,SKU-ELE-TEL-1151,QLED TV,Electronics,Television,Levis,549,13453,18538.25,37.8,18,4.46,18,2021-02-23,ACTIVE,2021-02-23,2022-10-25
1152,SKU-ELE-LAP-1152,Inspiron 15,Electronics,Laptops,Aashirvaad,548,85060,115404.31,35.67,28,5.14,6,2021-07-24,ACTIVE,2021-07-24,2026-02-14
